 Copyright (C) 1995-2019 - All Rights Reserved
 University Corporation for Atmospheric Research
 NCAR Command Language Version 6.6.2
 The use of this software is governed by a License Agreement.
 See http://www.ncl.ucar.edu/ for more details.
Pressure (kPa), Psychrometric Constant (kPa/C)
1741,1.15731
1742,1.15798
1743,1.15864
1744,1.15931
1745,1.15997
1746,1.16064
1747,1.1613
1748,1.16197
1749,1.16263
1750,1.1633
1751,1.16396
1752,1.16462
1753,1.16529
1754,1.16595
1755,1.16662
1756,1.16728
1757,1.16795
1758,1.16861
1759,1.16928
1760,1.16994
1761,1.17061
1762,1.17127
1763,1.17194
1764,1.1726
1765,1.17327
1766,1.17393
1767,1.1746
1768,1.17526
1769,1.17593
1770,1.17659
1771,1.17725
1772,1.17792
1773,1.17858
1774,1.17925
1775,1.17991
1776,1.18058
1777,1.18124
1778,1.18191
1779,1.18257
